date,city,count
01-05-2020,hyderabad,3.0
02-05-2020,hyderabad,5.0
03-05-2020,hyderabad,39.0
04-05-2020,hyderabad,20.0
05-05-2020,hyderabad,3.0
06-05-2020,hyderabad,0.0
07-05-2020,hyderabad,21.0
08-05-2020,hyderabad,39.0
09-05-2020,hyderabad,31.0
27-04-2020,ahmedabad,0.0
28-04-2020,ahmedabad,275.0
29-04-2020,ahmedabad,212.0
30-04-2020,ahmedabad,265.0
01-05-2020,ahmedabad,314.0
02-05-2020,ahmedabad,366.0
03-05-2020,ahmedabad,333.0
04-05-2020,ahmedabad,368.0
05-05-2020,ahmedabad,372.0
06-05-2020,ahmedabad,472.0
07-05-2020,ahmedabad,390.0
08-05-2020,ahmedabad,406.0
09-05-2020,ahmedabad,406.0
27-04-2020,chennai,0.0
28-04-2020,chennai,81.0
29-04-2020,chennai,104.0
30-04-2020,chennai,111.0
01-05-2020,chennai,142.0
02-05-2020,chennai,185.0
03-05-2020,chennai,176.0
04-05-2020,chennai,230.0
05-05-2020,chennai,284.0
06-05-2020,chennai,332.0
07-05-2020,chennai,337.0
08-05-2020,chennai,326.0
09-05-2020,chennai,436.0
27-04-2020,kolkata,0.0
28-04-2020,kolkata,0.0
29-04-2020,kolkata,0.0
30-04-2020,kolkata,0.0
01-05-2020,kolkata,0.0
02-05-2020,kolkata,0.0
03-05-2020,kolkata,0.0
04-05-2020,kolkata,633.0
05-05-2020,kolkata,38.0
06-05-2020,kolkata,73.0
07-05-2020,kolkata,56.0
08-05-2020,kolkata,47.0
09-05-2020,kolkata,89.0
27-04-2020,surat,0.0
28-04-2020,surat,38.0
29-04-2020,surat,14.0
30-04-2020,surat,54.0
01-05-2020,surat,30.0
02-05-2020,surat,44.0
03-05-2020,surat,51.0
04-05-2020,surat,84.0
05-05-2020,surat,71.0
06-05-2020,surat,95.0
07-05-2020,surat,63.0
08-05-2020,surat,100.0
09-05-2020,surat,50.0
27-04-2020,pune,0.0
28-04-2020,pune,62.0
29-04-2020,pune,89.0
30-04-2020,pune,32.0
01-05-2020,pune,63.0
02-05-2020,pune,116.0
